,Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
75,Singapore,SG,,,,1.35,103.82,377,recovered,2020-04-07T00:00:00Z
76,Singapore,SG,,,,1.35,103.82,406,recovered,2020-04-08T00:00:00Z
77,Singapore,SG,,,,1.35,103.82,460,recovered,2020-04-09T00:00:00Z
78,Singapore,SG,,,,1.35,103.82,492,recovered,2020-04-10T00:00:00Z
79,Singapore,SG,,,,1.35,103.82,528,recovered,2020-04-11T00:00:00Z
80,Singapore,SG,,,,1.35,103.82,560,recovered,2020-04-12T00:00:00Z
81,Singapore,SG,,,,1.35,103.82,586,recovered,2020-04-13T00:00:00Z
82,Singapore,SG,,,,1.35,103.82,611,recovered,2020-04-14T00:00:00Z
83,Singapore,SG,,,,1.35,103.82,652,recovered,2020-04-15T00:00:00Z
84,Singapore,SG,,,,1.35,103.82,683,recovered,2020-04-16T00:00:00Z
85,Singapore,SG,,,,1.35,103.82,708,recovered,2020-04-17T00:00:00Z
86,Singapore,SG,,,,1.35,103.82,740,recovered,2020-04-18T00:00:00Z
87,Singapore,SG,,,,1.35,103.82,768,recovered,2020-04-19T00:00:00Z
88,Singapore,SG,,,,1.35,103.82,801,recovered,2020-04-20T00:00:00Z
89,Singapore,SG,,,,1.35,103.82,839,recovered,2020-04-21T00:00:00Z
90,Singapore,SG,,,,1.35,103.82,896,recovered,2020-04-22T00:00:00Z
91,Singapore,SG,,,,1.35,103.82,924,recovered,2020-04-23T00:00:00Z
92,Singapore,SG,,,,1.35,103.82,956,recovered,2020-04-24T00:00:00Z
93,Singapore,SG,,,,1.35,103.82,1002,recovered,2020-04-25T00:00:00Z
94,Singapore,SG,,,,1.35,103.82,1060,recovered,2020-04-26T00:00:00Z
95,Singapore,SG,,,,1.35,103.82,1095,recovered,2020-04-27T00:00:00Z
96,Singapore,SG,,,,1.35,103.82,1128,recovered,2020-04-28T00:00:00Z
97,Singapore,SG,,,,1.35,103.82,1188,recovered,2020-04-29T00:00:00Z
98,Singapore,SG,,,,1.35,103.82,1244,recovered,2020-04-30T00:00:00Z
99,Singapore,SG,,,,1.35,103.82,1268,recovered,2020-05-01T00:00:00Z
100,Singapore,SG,,,,1.35,103.82,1347,recovered,2020-05-02T00:00:00Z
101,Singapore,SG,,,,1.35,103.82,1408,recovered,2020-05-03T00:00:00Z
102,Singapore,SG,,,,1.35,103.82,1457,recovered,2020-05-04T00:00:00Z
103,Singapore,SG,,,,1.35,103.82,1519,recovered,2020-05-05T00:00:00Z
104,Singapore,SG,,,,1.35,103.82,1634,recovered,2020-05-06T00:00:00Z
105,Singapore,SG,,,,1.35,103.82,1712,recovered,2020-05-07T00:00:00Z
106,Singapore,SG,,,,1.35,103.82,2040,recovered,2020-05-08T00:00:00Z
107,Singapore,SG,,,,1.35,103.82,2296,recovered,2020-05-09T00:00:00Z
108,Singapore,SG,,,,1.35,103.82,2721,recovered,2020-05-10T00:00:00Z
109,Singapore,SG,,,,1.35,103.82,3225,recovered,2020-05-11T00:00:00Z
110,Singapore,SG,,,,1.35,103.82,3851,recovered,2020-05-12T00:00:00Z
111,Singapore,SG,,,,1.35,103.82,4809,recovered,2020-05-13T00:00:00Z
112,Singapore,SG,,,,1.35,103.82,5973,recovered,2020-05-14T00:00:00Z
113,Singapore,SG,,,,1.35,103.82,7248,recovered,2020-05-15T00:00:00Z
114,Singapore,SG,,,,1.35,103.82,8342,recovered,2020-05-16T00:00:00Z
115,Singapore,SG,,,,1.35,103.82,9340,recovered,2020-05-17T00:00:00Z
116,Singapore,SG,,,,1.35,103.82,9835,recovered,2020-05-18T00:00:00Z
117,Singapore,SG,,,,1.35,103.82,10365,recovered,2020-05-19T00:00:00Z
118,Singapore,SG,,,,1.35,103.82,11207,recovered,2020-05-20T00:00:00Z
119,Singapore,SG,,,,1.35,103.82,12117,recovered,2020-05-21T00:00:00Z
120,Singapore,SG,,,,1.35,103.82,12995,recovered,2020-05-22T00:00:00Z
121,Singapore,SG,,,,1.35,103.82,13882,recovered,2020-05-23T00:00:00Z
122,Singapore,SG,,,,1.35,103.82,14876,recovered,2020-05-24T00:00:00Z
123,Singapore,SG,,,,1.35,103.82,15738,recovered,2020-05-25T00:00:00Z
124,Singapore,SG,,,,1.35,103.82,16444,recovered,2020-05-26T00:00:00Z
125,Singapore,SG,,,,1.35,103.82,17276,recovered,2020-05-27T00:00:00Z
126,Singapore,SG,,,,1.35,103.82,18294,recovered,2020-05-28T00:00:00Z
127,Singapore,SG,,,,1.35,103.82,19631,recovered,2020-05-29T00:00:00Z
128,Singapore,SG,,,,1.35,103.82,20727,recovered,2020-05-30T00:00:00Z
129,Singapore,SG,,,,1.35,103.82,21699,recovered,2020-05-31T00:00:00Z
130,Singapore,SG,,,,1.35,103.82,22466,recovered,2020-06-01T00:00:00Z
131,Singapore,SG,,,,1.35,103.82,23175,recovered,2020-06-02T00:00:00Z
